benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,read,0.005077,25170.357,1359797,0.000000,0.055339
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,total,0.005077,25170.357,1359797,0.000000,0.055339
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapValue,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,write,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,6,crdv-async,1,1000000,1000,0.05,1,all,async,mapAdd,NaN,0.000,0,NaN,NaN
